id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32285775,House in an award-winning estate (Courtlands),76621333,Phil,,Dublin City,53.37914658,-6.250440121,Entire home/apt,333,21,34,08-08-2024,0.5,1,114,16,
32307775,Temple Bar Duplex 3 Bed/2Bath Apt,234243,Johnny,,Dublin City,53.3455,-6.26206,Private room,628,2,65,10-08-2024,0.98,37,246,12,
32462470,Classic Gem in Smithfield Village,243874217,Kathryn,,Dublin City,53.34953,-6.27708,Entire home/apt,176,1,50,01-02-2024,0.74,1,286,2,
32488160,Large Georgian house close to Dublin City Center,240653203,Connie,,Dn Laoghaire-Rathdown,53.29425,-6.18131,Entire home/apt,696,5,6,01-08-2024,0.09,1,15,2,
32498446,Modern City Cottage Ringsend Grand Canal Dublin,244182580,Julia,,Dublin City,53.34286,-6.22758,Entire home/apt,297,1,115,02-09-2024,1.71,3,215,31,
32499291,"Modern 4 Bed House, easy access to Airport, Dublin",142216370,Sukh,,Fingal,53.40264634,-6.437001685,Entire home/apt,205,3,211,09-09-2024,3.14,2,149,27,
32515533,Beautiful one bedroom apartment.,244319042,Sarah,,South Dublin,53.30883,-6.32246,Entire home/apt,127,3,59,06-09-2024,0.88,1,158,10,
32526206,Private Single bedroom in  Castleknock,14325081,Cherry,,Fingal,53.37385,-6.39856,Private room,50,2,143,03-09-2024,2.14,3,73,28,
32533650,Back garden view bedroom,14325081,Cherry,,Fingal,53.3727212,-6.398072653,Private room,50,2,97,06-09-2024,3.54,3,47,44,
32569264,Our house is in a good location,104485620,Raimonda,,Dublin City,53.39101704,-6.159041226,Private room,60,1,6,01-09-2023,0.42,2,304,0,
32662614,Cosy & Modern 63,70154490,R Gar And G,,Dublin City,53.31652,-6.27296,Entire home/apt,130,5,50,31-07-2024,0.75,56,71,8,
32690145,Small ‘Bijou’ Studio Apartment with Wifi,211091139,Alan,,Dublin City,53.3627,-6.25754,Entire home/apt,,15,86,04-09-2024,1.29,5,0,6,
32778290,Modern town house in the heart of Skerries.,30588796,Sophie,,Fingal,53.57104,-6.11016,Entire home/apt,140,6,11,25-06-2022,0.17,1,97,0,
32782397,Homely and welcoming accommodation,153424801,Patsy,,Dn Laoghaire-Rathdown,53.28129,-6.23156,Private room,75,2,107,07-09-2024,1.59,2,67,18,
32803356,Perfect family getaway steps from the beach,34837138,Gillian,,Fingal,53.52929,-6.08847,Entire home/apt,190,5,97,31-08-2024,1.55,1,16,22,
32838554,"Spacious, Quiet & Warm Apartment beside Croke Pk",192026735,Michael,,Dublin City,53.36253,-6.24343,Entire home/apt,,3,11,04-09-2024,0.16,2,0,2,
32839694,Private En-suite in warm & quiet apt (room only),192026735,Michael,,Dublin City,53.36382,-6.2433,Private room,66,1,113,21-08-2024,1.68,2,5,52,
32842487,Elegant Dublin City Getaway,21417911,Mary,,Dublin City,53.33228,-6.25819,Entire home/apt,,14,101,12-07-2024,1.51,4,12,8,
